#Present in minus of 3 samples	Abundance < 5e-05	Present in databank of contaminants
Cluster_2706	Cluster_2650	
Cluster_2716	Cluster_2652	
Cluster_2717	Cluster_2658	
Cluster_2722	Cluster_2661	
Cluster_2734	Cluster_2666	
Cluster_2738	Cluster_2677	
Cluster_2744	Cluster_2684	
Cluster_2751	Cluster_2692	
Cluster_2754	Cluster_2697	
Cluster_2774	Cluster_2706	
Cluster_2778	Cluster_2716	
Cluster_2790	Cluster_2717	
Cluster_2795	Cluster_2722	
Cluster_2798	Cluster_2734	
Cluster_2800	Cluster_2738	
Cluster_2812	Cluster_2744	
Cluster_2820	Cluster_2751	
Cluster_2826	Cluster_2754	
Cluster_2833	Cluster_2774	
Cluster_2834	Cluster_2778	
Cluster_2841	Cluster_2790	
Cluster_2867	Cluster_2795	
Cluster_2868	Cluster_2798	
Cluster_2875	Cluster_2800	
Cluster_2895	Cluster_2812	
Cluster_2902	Cluster_2820	
Cluster_2931	Cluster_2826	
Cluster_2947	Cluster_2833	
Cluster_2971	Cluster_2834	
Cluster_2979	Cluster_2841	
Cluster_2986	Cluster_2867	
Cluster_2987	Cluster_2868	
Cluster_2991	Cluster_2875	
Cluster_2995	Cluster_2895	
Cluster_2998	Cluster_2902	
Cluster_3007	Cluster_2931	
Cluster_3015	Cluster_2947	
Cluster_3017	Cluster_2971	
Cluster_3045	Cluster_2979	
Cluster_3046	Cluster_2986	
Cluster_3051	Cluster_2987	
Cluster_3059	Cluster_2991	
Cluster_3076	Cluster_2995	
Cluster_3084	Cluster_2998	
Cluster_3097	Cluster_3007	
Cluster_3102	Cluster_3015	
Cluster_3106	Cluster_3017	
Cluster_3115	Cluster_3045	
Cluster_3132	Cluster_3046	
Cluster_3133	Cluster_3051	
Cluster_3140	Cluster_3059	
Cluster_3174	Cluster_3076	
Cluster_3191	Cluster_3084	
Cluster_3193	Cluster_3097	
Cluster_3200	Cluster_3102	
Cluster_3224	Cluster_3106	
Cluster_3232	Cluster_3115	
Cluster_3245	Cluster_3132	
Cluster_3250	Cluster_3133	
Cluster_3251	Cluster_3140	
Cluster_3264	Cluster_3174	
Cluster_3275	Cluster_3191	
Cluster_3278	Cluster_3193	
Cluster_3292	Cluster_3200	
Cluster_3304	Cluster_3224	
Cluster_3305	Cluster_3232	
Cluster_3314	Cluster_3245	
Cluster_3324	Cluster_3250	
Cluster_3331	Cluster_3251	
Cluster_3334	Cluster_3264	
Cluster_3342	Cluster_3275	
Cluster_3358	Cluster_3278	
Cluster_3368	Cluster_3292	
Cluster_3370	Cluster_3304	
Cluster_3372	Cluster_3305	
Cluster_3374	Cluster_3314	
Cluster_3375	Cluster_3324	
Cluster_3382	Cluster_3331	
Cluster_3400	Cluster_3334	
Cluster_3410	Cluster_3342	
Cluster_3418	Cluster_3358	
Cluster_3429	Cluster_3368	
Cluster_3433	Cluster_3370	
Cluster_3435	Cluster_3372	
Cluster_3437	Cluster_3374	
Cluster_3461	Cluster_3375	
Cluster_3475	Cluster_3382	
Cluster_3480	Cluster_3400	
Cluster_3483	Cluster_3410	
Cluster_3491	Cluster_3418	
Cluster_3512	Cluster_3429	
Cluster_3516	Cluster_3433	
Cluster_3532	Cluster_3435	
Cluster_3543	Cluster_3437	
Cluster_3545	Cluster_3461	
Cluster_3550	Cluster_3475	
Cluster_3554	Cluster_3480	
Cluster_3561	Cluster_3483	
Cluster_3564	Cluster_3491	
Cluster_3568	Cluster_3512	
Cluster_3571	Cluster_3516	
Cluster_3575	Cluster_3532	
Cluster_3590	Cluster_3543	
Cluster_3591	Cluster_3545	
Cluster_3611	Cluster_3550	
Cluster_3612	Cluster_3554	
Cluster_3619	Cluster_3561	
Cluster_3623	Cluster_3564	
Cluster_3624	Cluster_3568	
Cluster_3628	Cluster_3571	
Cluster_3636	Cluster_3575	
Cluster_3639	Cluster_3590	
Cluster_3641	Cluster_3591	
Cluster_3646	Cluster_3611	
Cluster_3653	Cluster_3612	
Cluster_3657	Cluster_3619	
Cluster_3662	Cluster_3623	
Cluster_3679	Cluster_3624	
Cluster_3693	Cluster_3628	
Cluster_3709	Cluster_3636	
Cluster_3717	Cluster_3639	
Cluster_3729	Cluster_3641	
Cluster_3732	Cluster_3646	
Cluster_3740	Cluster_3653	
Cluster_3746	Cluster_3657	
Cluster_3747	Cluster_3662	
Cluster_3749	Cluster_3679	
Cluster_3752	Cluster_3693	
Cluster_3756	Cluster_3709	
Cluster_3762	Cluster_3717	
Cluster_3765	Cluster_3729	
Cluster_3772	Cluster_3732	
Cluster_3773	Cluster_3740	
Cluster_3806	Cluster_3746	
Cluster_3807	Cluster_3747	
Cluster_3822	Cluster_3749	
Cluster_3836	Cluster_3752	
Cluster_3840	Cluster_3756	
Cluster_3850	Cluster_3762	
Cluster_3861	Cluster_3765	
Cluster_3890	Cluster_3772	
Cluster_3894	Cluster_3773	
Cluster_3895	Cluster_3806	
Cluster_3902	Cluster_3807	
Cluster_3904	Cluster_3822	
Cluster_3911	Cluster_3836	
Cluster_3914	Cluster_3840	
Cluster_3934	Cluster_3861	
Cluster_3948	Cluster_3890	
Cluster_3961	Cluster_3894	
Cluster_3962	Cluster_3895	
Cluster_3966	Cluster_3902	
Cluster_3967	Cluster_3904	
Cluster_3971	Cluster_3911	
Cluster_3974	Cluster_3914	
Cluster_3984	Cluster_3934	
Cluster_3990	Cluster_3948	
Cluster_3991	Cluster_3961	
Cluster_4016	Cluster_3962	
Cluster_4021	Cluster_3966	
Cluster_4022	Cluster_3967	
Cluster_4033	Cluster_3971	
Cluster_4034	Cluster_3974	
Cluster_4035	Cluster_3984	
Cluster_4037	Cluster_3990	
Cluster_4042	Cluster_3991	
Cluster_4060	Cluster_4016	
Cluster_4070	Cluster_4021	
Cluster_4082	Cluster_4022	
Cluster_4095	Cluster_4033	
Cluster_4106	Cluster_4034	
Cluster_4140	Cluster_4035	
Cluster_4141	Cluster_4037	
Cluster_4142	Cluster_4042	
Cluster_4147	Cluster_4060	
Cluster_4157	Cluster_4070	
Cluster_4158	Cluster_4082	
Cluster_4175	Cluster_4095	
Cluster_4190	Cluster_4106	
Cluster_4196	Cluster_4140	
Cluster_4213	Cluster_4141	
Cluster_4217	Cluster_4142	
Cluster_4231	Cluster_4147	
Cluster_4249	Cluster_4157	
Cluster_4275	Cluster_4158	
Cluster_4293	Cluster_4175	
Cluster_4296	Cluster_4190	
Cluster_4315	Cluster_4196	
Cluster_4331	Cluster_4213	
Cluster_4338	Cluster_4217	
Cluster_4351	Cluster_4231	
Cluster_4381	Cluster_4249	
Cluster_4410	Cluster_4275	
Cluster_4413	Cluster_4293	
Cluster_4416	Cluster_4296	
Cluster_4427	Cluster_4315	
Cluster_4435	Cluster_4331	
Cluster_4436	Cluster_4338	
Cluster_4449	Cluster_4351	
Cluster_4452	Cluster_4381	
Cluster_4456	Cluster_4410	
Cluster_4461	Cluster_4413	
Cluster_4464	Cluster_4416	
Cluster_4471	Cluster_4427	
Cluster_4472	Cluster_4435	
Cluster_4487	Cluster_4436	
Cluster_4496	Cluster_4449	
Cluster_4503	Cluster_4452	
